1,agachada,1,agachada,agachar,agachar,VMP,agachar,a . G_o a ' tS a 4 ,agachada,a . G_o a ' tS a . D_o a ,agachar,a . g a ' C a 4 ,agachada,a . g a ' C a . d a ,agachar,a.ga'Ca4,agachada,a.ga'Ca.da
1,agacho,1,agacho,agachar,agachar,VMI,agachar,a . G_o a ' tS a 4 ,agacho,a ' G_o a . tS o ,agachar,a . g a ' C a 4 ,agacho,a ' g a . C o ,agachar,a.ga'Ca4,agacho,a'ga.Co
2.11,agarra,13,agarra,agarrar,agarrar,VMI,agarrar,a . G_o a ' r a 4 ,agarra,a ' G_o a . r a ,agarrar,a . g a ' r a 4 ,agarra,a ' g a . r a ,agarrar,a.ga'ra4,agarra,a'ga.ra
1,agarraba,1,agarraba,agarrar,agarrar,VMI,agarrar,a . G_o a ' r a 4 ,agarraba,a . G_o a ' r a . B_o a ,agarrar,a . g a ' r a 4 ,agarraba,a . g a ' r a . b a ,agarrar,a.ga'ra4,agarraba,a.ga'ra.ba
1,agarraban,1,agarraban,agarrar,agarrar,VMI,agarrar,a . G_o a ' r a 4 ,agarraban,a . G_o a ' r a . B_o a n ,agarrar,a . g a ' r a 4 ,agarraban,a . g a ' r a . b a n ,agarrar,a.ga'ra4,agarraban,a.ga'ra.ban
1.3,agarrado,2,agarrado,agarrar,agarrar,VMP,agarrar,a . G_o a ' r a 4 ,agarrado,a . G_o a ' r a . D_o o ,agarrar,a . g a ' r a 4 ,agarrado,a . g a ' r a . d o ,agarrar,a.ga'ra4,agarrado,a.ga'ra.do
1,agarramos,1,agarramos,agarrar,agarrar,VMI,agarrar,a . G_o a ' r a 4 ,agarramos,a . G_o a ' r a . m o s ,agarrar,a . g a ' r a 4 ,agarramos,a . g a ' r a . m o s ,agarrar,a.ga'ra4,agarramos,a.ga'ra.mos
1,agarrando,1,agarrando,agarrar,agarrar,VMG,agarrar,a . G_o a ' r a 4 ,agarrando,a . G_o a ' r a n_d . d o ,agarrar,a . g a ' r a 4 ,agarrando,a . g a ' r a n . d o ,agarrar,a.ga'ra4,agarrando,a.ga'ran.do
1,agarrándole,1,agarrándole,agarrar+le,agarrar,VMG+PP,agarrar,a . G_o a ' r a 4 ,agarrándole,a . G_o a ' r a n_d . d o . l e ,agarrar,a . g a ' r a 4 ,agarrándole,a . g a ' r a n . d o . l e ,agarrar,a.ga'ra4,agarrándole,a.ga'ran.do.le
2.26,agarrar,18,agarrar,agarrar,agarrar,VMN,agarrar,a . G_o a ' r a 4 ,agarrar,a . G_o a ' r a 4 ,agarrar,a . g a ' r a 4 ,agarrar,a . g a ' r a 4 ,agarrar,a.ga'ra4,agarrar,a.ga'ra4
1,agarraré,1,agarraré,agarrar,agarrar,VMI,agarrar,a . G_o a ' r a 4 ,agarraré,a . G_o a . r a ' 4 e ,agarrar,a . g a ' r a 4 ,agarraré,a . g a . r a ' 4 e ,agarrar,a.ga'ra4,agarraré,a.ga.ra'4e
1,agarrarte,1,agarrarte,agarrar+te,agarrar,VMN+PP,agarrar,a . G_o a ' r a 4 ,agarrarte,a . G_o a ' r a 4 . t e ,agarrar,a . g a ' r a 4 ,agarrarte,a . g a ' r a 4 . t e ,agarrar,a.ga'ra4,agarrarte,a.ga'ra4.te
1.3,agarras,2,agarras,agarrar,agarrar,VMI,agarrar,a . G_o a ' r a 4 ,agarras,a ' G_o a . r a s ,agarrar,a . g a ' r a 4 ,agarras,a ' g a . r a s ,agarrar,a.ga'ra4,agarras,a'ga.ras
1.78,agárrate,6,agárrate,agarrar+te,agarrar,VMM+PP,agarrar,a . G_o a ' r a 4 ,agárrate,a ' G_o a . r a . t e ,agarrar,a . g a ' r a 4 ,agárrate,a ' g a . r a . t e ,agarrar,a.ga'ra4,agárrate,a'ga.ra.te
1,agarre,1,agarre,agarre,agarre,NC,agarre,a ' G_o a . r e ,agarre,a ' G_o a . r e ,agarre,a ' g a . r e ,agarre,a ' g a . r e ,agarre,a'ga.re,agarre,a'ga.re
1.7,agarro,5,agarro,agarrar,agarrar,VMI,agarrar,a . G_o a ' r a 4 ,agarro,a ' G_o a . r o ,agarrar,a . g a ' r a 4 ,agarro,a ' g a . r o ,agarrar,a.ga'ra4,agarro,a'ga.ro
3.6,agua,395,agua,agua,agua,NC,agua,' a . G_o w a ,agua,' a . G_o w a ,agua,' a . g w a ,agua,' a . g w a ,agua,'a.gwa,agua,'a.gwa
1,aguante,1,aguante,aguante,aguante,NC,aguante,a ' G_o w a n_d . t e ,aguante,a ' G_o w a n_d . t e ,aguante,a ' g w a n . t e ,aguante,a ' g w a n . t e ,aguante,a'gwan.te,aguante,a'gwan.te
1,Aguapolis,1,aguapolis,aguapolis,aguapolis,NP,aguapolis,a . G_o w a ' p o . l i s ,Aguapolis,a . G_o w a ' p o . l i s ,aguapolis,a . g w a ' p o . l i s ,Aguapolis,a . g w a ' p o . l i s ,aguapolis,a.gwa'po.lis,Aguapolis,a.gwa'po.lis
1,agüica,1,agüica,agüica,agüica,AQ,agüica,a ' G_o w i . k a ,agüica,a ' G_o w i . k a ,agüica,a ' g w i . k a ,agüica,a ' g w i . k a ,agüica,a'gwi.ka,agüica,a'gwi.ka
1,águila,1,águila,águila,águila,NC,águila,' a . G_o i . l a ,águila,' a . G_o i . l a ,águila,' a . g i . l a ,águila,' a . g i . l a ,águila,'a.gi.la,águila,'a.gi.la
1.48,agüita,3,agüita,agüita,agüita,NC,agüita,a ' G_o w i . t a ,agüita,a ' G_o w i . t a ,agüita,a ' g w i . t a ,agüita,a ' g w i . t a ,agüita,a'gwi.ta,agüita,a'gwi.ta
1,agujerico,1,agujerico,agujero,agujero,NC,agujero,a . G_o u ' x e . 4 o ,agujerico,a . G_o u . x e ' 4 i . k o ,agujero,a . g u ' x e . 4 o ,agujerico,a . g u . x e ' 4 i . k o ,agujero,a.gu'xe.4o,agujerico,a.gu.xe'4i.ko
1.48,agujerito,3,agujerito,agujero,agujero,NC,agujero,a . G_o u ' x e . 4 o ,agujerito,a . G_o u . x e ' 4 i . t o ,agujero,a . g u ' x e . 4 o ,agujerito,a . g u . x e ' 4 i . t o ,agujero,a.gu'xe.4o,agujerito,a.gu.xe'4i.to
2.28,agujero,19,agujero,agujero,agujero,NC,agujero,a . G_o u ' x e . 4 o ,agujero,a . G_o u ' x e . 4 o ,agujero,a . g u ' x e . 4 o ,agujero,a . g u ' x e . 4 o ,agujero,a.gu'xe.4o,agujero,a.gu'xe.4o
1.78,agujeros,6,agujeros,agujero,agujero,NC,agujero,a . G_o u ' x e . 4 o ,agujeros,a . G_o u ' x e . 4 o s ,agujero,a . g u ' x e . 4 o ,agujeros,a . g u ' x e . 4 o s ,agujero,a.gu'xe.4o,agujeros,a.gu'xe.4os
1.3,Agustín,2,agustín,agustín,agustín,NP,agustín,a . G_o u s ' t i n ,Agustín,a . G_o u s ' t i n ,agustín,a . g u s ' t i n ,Agustín,a . g u s ' t i n ,agustín,a.gus'tin,Agustín,a.gus'tin
4.04,ahí,1090,ahí,ahí,ahí,RG,ahí,a ' i ,ahí,a ' i ,ahí,a ' i ,ahí,a ' i ,ahí,a'i,ahí,a'i
1.78,ahoga,6,ahoga,ahogar,ahogar,VMI,ahogar,a . o ' G_o a 4 ,ahoga,a ' o . G_o a ,ahogar,a . o ' g a 4 ,ahoga,a ' o . g a ,ahogar,a.o'ga4,ahoga,a'o.ga
1.3,ahogaban,2,ahogaban,ahogar,ahogar,VMI,ahogar,a . o ' G_o a 4 ,ahogaban,a . o ' G_o a . B_o a n ,ahogar,a . o ' g a 4 ,ahogaban,a . o ' g a . b a n ,ahogar,a.o'ga4,ahogaban,a.o'ga.ban
1,ahogado,1,ahogado,ahogado,ahogado,NC,ahogado,a . o ' G_o a . D_o o ,ahogado,a . o ' G_o a . D_o o ,ahogado,a . o ' g a . d o ,ahogado,a . o ' g a . d o ,ahogado,a.o'ga.do,ahogado,a.o'ga.do
1.9,ahogan,8,ahogan,ahogar,ahogar,VMI,ahogar,a . o ' G_o a 4 ,ahogan,a ' o . G_o a n ,ahogar,a . o ' g a 4 ,ahogan,a ' o . g a n ,ahogar,a.o'ga4,ahogan,a'o.gan
1.3,ahogando,2,ahogando,ahogar,ahogar,VMG,ahogar,a . o ' G_o a 4 ,ahogando,a . o ' G_o a n_d . d o ,ahogar,a . o ' g a 4 ,ahogando,a . o ' g a n . d o ,ahogar,a.o'ga4,ahogando,a.o'gan.do
1.7,ahogar,5,ahogar,ahogar,ahogar,VMN,ahogar,a . o ' G_o a 4 ,ahogar,a . o ' G_o a 4 ,ahogar,a . o ' g a 4 ,ahogar,a . o ' g a 4 ,ahogar,a.o'ga4,ahogar,a.o'ga4
1,ahogen,1,ahogen,ahogen,ahogen,VMI,ahogen,a ' o . x e n ,ahogen,a ' o . x e n ,ahogen,a ' o . x e n ,ahogen,a ' o . x e n ,ahogen,a'o.xen,ahogen,a'o.xen
1.3,ahogo,2,ahogo,ahogo,ahogo,NC,ahogo,a ' o . G_o o ,ahogo,a ' o . G_o o ,ahogo,a ' o . g o ,ahogo,a ' o . g o ,ahogo,a'o.go,ahogo,a'o.go
1,ahogue,1,ahogue,ahogar,ahogar,VMS,ahogar,a . o ' G_o a 4 ,ahogue,a ' o . G_o e ,ahogar,a . o ' g a 4 ,ahogue,a ' o . g e ,ahogar,a.o'ga4,ahogue,a'o.ge
1.3,ahoguen,2,ahoguen,ahogar,ahogar,VMS,ahogar,a . o ' G_o a 4 ,ahoguen,a ' o . G_o e n ,ahogar,a . o ' g a 4 ,ahoguen,a ' o . g e n ,ahogar,a.o'ga4,ahoguen,a'o.gen
4.35,ahora,2231,ahora,ahora,ahora,RG,ahora,a ' o . 4 a ,ahora,a ' o . 4 a ,ahora,a ' o . 4 a ,ahora,a ' o . 4 a ,ahora,a'o.4a,ahora,a'o.4a
1.3,Ainara,2,ainara,ainara,ainara,NP,ainara,a i_^ ' n a . 4 a ,Ainara,a i_^ ' n a . 4 a ,ainara,a i ' n a . 4 a ,Ainara,a i ' n a . 4 a ,ainara,ai'na.4a,Ainara,ai'na.4a
2.4,Ainhoa,25,ainhoa,ainhoa,ainhoa,NP,ainhoa,a i_^ ' n o . a ,Ainhoa,a i_^ ' n o . a ,ainhoa,a i ' n o . a ,Ainhoa,a i ' n o . a ,ainhoa,ai'no.a,Ainhoa,ai'no.a
1.95,aire,9,aire,aire,aire,NC,aire,' a i_^ . 4 e ,aire,' a i_^ . 4 e ,aire,' a i . 4 e ,aire,' a i . 4 e ,aire,'ai.4e,aire,'ai.4e
1,aires,1,aires,aire,aire,NC,aire,' a i_^ . 4 e ,aires,' a i_^ . 4 e s ,aire,' a i . 4 e ,aires,' a i . 4 e s ,aire,'ai.4e,aires,'ai.4es
1.3,Aitana,2,aitana,aitana,aitana,NP,aitana,a i_^ ' t a . n a ,Aitana,a i_^ ' t a . n a ,aitana,a i ' t a . n a ,Aitana,a i ' t a . n a ,aitana,ai'ta.na,Aitana,ai'ta.na
1,Aitona,1,aitona,aitona,aitona,NP,aitona,a i_^ ' t o . n a ,Aitona,a i_^ ' t o . n a ,aitona,a i ' t o . n a ,Aitona,a i ' t o . n a ,aitona,ai'to.na,Aitona,ai'to.na
1.3,Aitor,2,aitor,aitor,aitor,NP,aitor,a i_^ ' t o 4 ,Aitor,a i_^ ' t o 4 ,aitor,a i ' t o 4 ,Aitor,a i ' t o 4 ,aitor,ai'to4,Aitor,ai'to4
1.3,Aivón,2,aivón,aiva,aiva,NC,aiva,' a i_^ . B_o a ,Aivón,a i_^ ' B_o o n ,aiva,' a i . b a ,Aivón,a i ' b o n ,aiva,'ai.ba,Aivón,ai'bon
4.05,al,1128,el,el,el,DA,el,e l ,al,a l ,el,' e l ,al,' a l ,el,'el,al,'al
1,Ala,1,ala,ala,ala,NC,ala,' a . l a ,Ala,' a . l a ,ala,' a . l a ,Ala,' a . l a ,ala,'a.la,Ala,'a.la
3.15,ála,140,ála,ála,ála,NC,ála,' a . l a ,ála,' a . l a ,ála,' a . l a ,ála,' a . l a ,ála,'a.la,ála,'a.la
1,Alalar,1,alalar,alalar,alalar,NP,alalar,a . l a ' l a 4 ,Alalar,a . l a ' l a 4 ,alalar,a . l a ' l a 4 ,Alalar,a . l a ' l a 4 ,alalar,a.la'la4,Alalar,a.la'la4
1.6,Alaluf,4,alaluf,alaluf,alaluf,NP,alaluf,a . l a ' l u f ,Alaluf,a . l a ' l u f ,alaluf,a . l a ' l u f ,Alaluf,a . l a ' l u f ,alaluf,a.la'luf,Alaluf,a.la'luf
1,alarma,1,alarma,alarma,alarma,NC,alarma,a ' l a 4 . m a ,alarma,a ' l a 4 . m a ,alarma,a ' l a 4 . m a ,alarma,a ' l a 4 . m a ,alarma,a'la4.ma,alarma,a'la4.ma
2.11,alas,13,alas,ala,ala,NC,ala,' a . l a ,alas,' a . l a s ,ala,' a . l a ,alas,' a . l a s ,ala,'a.la,alas,'a.las
1.3,Alberto,2,alberto,alberto,alberto,NP,alberto,a l ' B_o e 4 . t o ,Alberto,a l ' B_o e 4 . t o ,alberto,a l ' b e 4 . t o ,Alberto,a l ' b e 4 . t o ,alberto,al'be4.to,Alberto,al'be4.to
1,Albi,1,albi,albi,albi,NP,albi,' a l . B_o i ,Albi,' a l . B_o i ,albi,' a l . b i ,Albi,' a l . b i ,albi,'al.bi,Albi,'al.bi
1.3,albóndigas,2,albóndigas,albóndiga,albóndiga,NC,albóndiga,a l ' B_o o n_d . d i . G_o a ,albóndigas,a l ' B_o o n_d . d i . G_o a s ,albóndiga,a l ' b o n . d i . g a ,albóndigas,a l ' b o n . d i . g a s ,albóndiga,al'bon.di.ga,albóndigas,al'bon.di.gas
1.78,alcohol,6,alcohol,alcohol,alcohol,NC,alcohol,a l . k o ' o l ,alcohol,a l . k o ' o l ,alcohol,a l . k o ' o l ,alcohol,a l . k o ' o l ,alcohol,al.ko'ol,alcohol,al.ko'ol
2.15,ále,14,ále,ále,ále,AQ,ále,' a . l e ,ále,' a . l e ,ále,' a . l e ,ále,' a . l e ,ále,'a.le,ále,'a.le
1,alegre,1,alegre,alegre,alegre,AQ,alegre,a ' l e . G_o 4 e ,alegre,a ' l e . G_o 4 e ,alegre,a ' l e . g 4 e ,alegre,a ' l e . g 4 e ,alegre,a'le.g4e,alegre,a'le.g4e
1,alegres,1,alegres,alegre,alegre,AQ,alegre,a ' l e . G_o 4 e ,alegres,a ' l e . G_o 4 e s ,alegre,a ' l e . g 4 e ,alegres,a ' l e . g 4 e s ,alegre,a'le.g4e,alegres,a'le.g4es
1,alejando,1,alejando,alejar,alejar,VMG,alejar,a . l e ' x a 4 ,alejando,a . l e ' x a n_d . d o ,alejar,a . l e ' x a 4 ,alejando,a . l e ' x a n . d o ,alejar,a.le'xa4,alejando,a.le'xan.do
1.78,Alejandro,6,alejandro,alejandro,alejandro,NP,alejandro,a . l e ' x a n_d . d 4 o ,Alejandro,a . l e ' x a n_d . d 4 o ,alejandro,a . l e ' x a n . d 4 o ,Alejandro,a . l e ' x a n . d 4 o ,alejandro,a.le'xan.d4o,Alejandro,a.le'xan.d4o
1,aletas,1,aletas,aleta,aleta,NC,aleta,a ' l e . t a ,aletas,a ' l e . t a s ,aleta,a ' l e . t a ,aletas,a ' l e . t a s ,aleta,a'le.ta,aletas,a'le.tas
2.36,Alex,23,alex,alex,alex,NP,alex,a ' l e k s ,Alex,a ' l e k s ,alex,a ' l e k s ,Alex,a ' l e k s ,alex,a'leks,Alex,a'leks
2,alfombra,10,alfombra,alfombra,alfombra,NC,alfombra,a l ' f o m . b 4 a ,alfombra,a l ' f o m . b 4 a ,alfombra,a l ' f o m . b 4 a ,alfombra,a l ' f o m . b 4 a ,alfombra,al'fom.b4a,alfombra,al'fom.b4a
1,alforjas,1,alforjas,alforja,alforja,NC,alforja,a l ' f o 4 . x a ,alforjas,a l ' f o 4 . x a s ,alforja,a l ' f o 4 . x a ,alforjas,a l ' f o 4 . x a s ,alforja,al'fo4.xa,alforjas,al'fo4.xas
2.58,algo,38,algo,algo,algo,PI,algo,' a l . G_o o ,algo,' a l . G_o o ,algo,' a l . g o ,algo,' a l . g o ,algo,'al.go,algo,'al.go
1,algodón,1,algodón,algodón,algodón,NC,algodón,a l . G_o o ' D_o o n ,algodón,a l . G_o o ' D_o o n ,algodón,a l . g o ' d o n ,algodón,a l . g o ' d o n ,algodón,al.go'don,algodón,al.go'don
2.51,alguien,32,alguien,alguien,alguien,PI,alguien,' a l . G_o j e n ,alguien,' a l . G_o j e n ,alguien,' a l . g j e n ,alguien,' a l . g j e n ,alguien,'al.gjen,alguien,'al.gjen
1.78,algún,6,algún,alguno,alguno,DI,alguno,a l ' G_o u . n o ,algún,a l ' G_o u n ,alguno,a l ' g u . n o ,algún,a l ' g u n ,alguno,al'gu.no,algún,al'gun
1.6,alguna,4,alguna,alguno,alguno,DI,alguno,a l ' G_o u . n o ,alguna,a l ' G_o u . n a ,alguno,a l ' g u . n o ,alguna,a l ' g u . n a ,alguno,al'gu.no,alguna,al'gu.na
1,algunas,1,algunas,alguno,alguno,DI,alguno,a l ' G_o u . n o ,algunas,a l ' G_o u . n a s ,alguno,a l ' g u . n o ,algunas,a l ' g u . n a s ,alguno,al'gu.no,algunas,al'gu.nas
2.3,alguno,20,alguno,alguno,alguno,PI,alguno,a l ' G_o u . n o ,alguno,a l ' G_o u . n o ,alguno,a l ' g u . n o ,alguno,a l ' g u . n o ,alguno,al'gu.no,alguno,al'gu.no
2.04,algunos,11,algunos,alguno,alguno,DI,alguno,a l ' G_o u . n o ,algunos,a l ' G_o u . n o s ,alguno,a l ' g u . n o ,algunos,a l ' g u . n o s ,alguno,al'gu.no,algunos,al'gu.nos
1,Alicia,1,alicia,alicio,alicio,NC,alicio,a ' l i . T j o ,Alicia,a ' l i . T j a ,alicio,a ' l i . T j o ,Alicia,a ' l i . T j a ,alicio,a'li.Tjo,Alicia,a'li.Tja
1,Alis,1,alis,alis,alis,NC,alis,' a . l i s ,Alis,' a . l i s ,alis,' a . l i s ,Alis,' a . l i s ,alis,'a.lis,Alis,'a.lis
2.88,allá,75,allá,allá,allá,RG,allá,a ' j\\ a ,allá,a ' j\\ a ,allá,a ' L a ,allá,a ' L a ,allá,a'La,allá,a'La
2.7,allí,50,allí,allí,allí,RG,allí,a ' j\\ i ,allí,a ' j\\ i ,allí,a ' L i ,allí,a ' L i ,allí,a'Li,allí,a'Li
1.48,almohada,3,almohada,almohada,almohada,NC,almohada,a l . m o ' a . D_o a ,almohada,a l . m o ' a . D_o a ,almohada,a l . m o ' a . d a ,almohada,a l . m o ' a . d a ,almohada,al.mo'a.da,almohada,al.mo'a.da
1,almuercito,1,almuercito,almuerzo,almuerzo,NC,almuerzo,a l ' m w e 4 . T o ,almuercito,a l . m w e 4 ' T i . t o ,almuerzo,a l ' m w e 4 . T o ,almuercito,a l . m w e 4 ' T i . t o ,almuerzo,al'mwe4.To,almuercito,al.mwe4'Ti.to
1,almuerzo,1,almuerzo,almuerzo,almuerzo,NC,almuerzo,a l ' m w e 4 . T o ,almuerzo,a l ' m w e 4 . T o ,almuerzo,a l ' m w e 4 . T o ,almuerzo,a l ' m w e 4 . T o ,almuerzo,al'mwe4.To,almuerzo,al'mwe4.To
1.3,alrededor,2,alrededor,alrededor,alrededor,RG,alrededor,a l . r e . D_o e ' D_o o 4 ,alrededor,a l . r e . D_o e ' D_o o 4 ,alrededor,a l . r e . d e ' d o 4 ,alrededor,a l . r e . d e ' d o 4 ,alrededor,al.re.de'do4,alrededor,al.re.de'do4
1.3,Alsasu,2,alsasu,alsasu,alsasu,NP,alsasu,a l ' s a . s u ,Alsasu,a l ' s a . s u ,alsasu,a l ' s a . s u ,Alsasu,a l ' s a . s u ,alsasu,al'sa.su,Alsasu,al'sa.su
1.78,alta,6,alta,alto,alto,AQ,alto,' a l_d . t o ,alta,' a l_d . t a ,alto,' a l . t o ,alta,' a l . t a ,alto,'al.to,alta,'al.ta
1,altas,1,altas,alto,alto,AQ,alto,' a l_d . t o ,altas,' a l_d . t a s ,alto,' a l . t o ,altas,' a l . t a s ,alto,'al.to,altas,'al.tas
1,altísimo,1,altísimo,alto,alto,AQ,alto,' a l_d . t o ,altísimo,a l_d ' t i . s i . m o ,alto,' a l . t o ,altísimo,a l ' t i . s i . m o ,alto,'al.to,altísimo,al'ti.si.mo
2.48,alto,30,alto,alto,alto,AQ,alto,' a l_d . t o ,alto,' a l_d . t o ,alto,' a l . t o ,alto,' a l . t o ,alto,'al.to,alto,'al.to
1.6,alubias,4,alubias,alubia,alubia,NC,alubia,a ' l u . B_o j a ,alubias,a ' l u . B_o j a s ,alubia,a ' l u . b j a ,alubias,a ' l u . b j a s ,alubia,a'lu.bja,alubias,a'lu.bjas
1,alumnos,1,alumnos,alumno,alumno,NC,alumno,a ' l u m . n o ,alumnos,a ' l u m . n o s ,alumno,a ' l u m . n o ,alumnos,a ' l u m . n o s ,alumno,a'lum.no,alumnos,a'lum.nos
1,Álvaro,1,álvaro,álvaro,álvaro,NP,álvaro,' a l . B_o a . 4 o ,Álvaro,' a l . B_o a . 4 o ,álvaro,' a l . b a . 4 o ,Álvaro,' a l . b a . 4 o ,álvaro,'al.ba.4o,Álvaro,'al.ba.4o
1.6,am,4,am,ametro,ametro,NC,ametro,~a ' m e . t 4 o ,am,' ~a n ,ametro,a ' m e . t 4 o ,am,' a n ,ametro,a'me.t4o,am,'an
2.88,ama,75,ama,ama,ama,NC,ama,' ~a . m a ,ama,' ~a . m a ,ama,' a . m a ,ama,' a . m a ,ama,'a.ma,ama,'a.ma
2.2,amarilla,16,amarilla,amarillo,amarillo,AQ,amarillo,~a . m a ' 4 i . j\\ o ,amarilla,~a . m a ' 4 i . j\\ a ,amarillo,a . m a ' 4 i . L o ,amarilla,a . m a ' 4 i . L a ,amarillo,a.ma'4i.Lo,amarilla,a.ma'4i.La
1.48,amarillas,3,amarillas,amarillo,amarillo,AQ,amarillo,~a . m a ' 4 i . j\\ o ,amarillas,~a . m a ' 4 i . j\\ a s ,amarillo,a . m a ' 4 i . L o ,amarillas,a . m a ' 4 i . L a s ,amarillo,a.ma'4i.Lo,amarillas,a.ma'4i.Las
2.61,amarillo,41,amarillo,amarillo,amarillo,AQ,amarillo,~a . m a ' 4 i . j\\ o ,amarillo,~a . m a ' 4 i . j\\ o ,amarillo,a . m a ' 4 i . L o ,amarillo,a . m a ' 4 i . L o ,amarillo,a.ma'4i.Lo,amarillo,a.ma'4i.Lo
1.3,amarillos,2,amarillos,amarillo,amarillo,NC,amarillo,~a . m a ' 4 i . j\\ o ,amarillos,~a . m a ' 4 i . j\\ o s ,amarillo,a . m a ' 4 i . L o ,amarillos,a . m a ' 4 i . L o s ,amarillo,a.ma'4i.Lo,amarillos,a.ma'4i.Los
1,amartillará,1,amartillará,amartillar,amartillar,VMI,amartillar,~a . m a 4 . t i ' j\\ a 4 ,amartillará,~a . m a 4 . t i . j\\ a ' 4 a ,amartillar,a . m a 4 . t i ' L a 4 ,amartillará,a . m a 4 . t i . L a ' 4 a ,amartillar,a.ma4.ti'La4,amartillará,a.ma4.ti.La'4a
2.62,Amaya,42,amaya,amaya,amaya,AQ,amaya,~a ' m a . j\\ a ,Amaya,~a ' m a . j\\ a ,amaya,a ' m a . L a ,Amaya,a ' m a . L a ,amaya,a'ma.La,Amaya,a'ma.La
1.9,ambulancia,8,ambulancia,ambulancia,ambulancia,NC,ambulancia,~a m . b u ' l a n_d_+ . T j a ,ambulancia,~a m . b u ' l a n_d_+ . T j a ,ambulancia,a m . b u ' l a n . T j a ,ambulancia,a m . b u ' l a n . T j a ,ambulancia,am.bu'lan.Tja,ambulancia,am.bu'lan.Tja
1.3,ambulancias,2,ambulancias,ambulancia,ambulancia,NC,ambulancia,~a m . b u ' l a n_d_+ . T j a ,ambulancias,~a m . b u ' l a n_d_+ . T j a s ,ambulancia,a m . b u ' l a n . T j a ,ambulancias,a m . b u ' l a n . T j a s ,ambulancia,am.bu'lan.Tja,ambulancias,am.bu'lan.Tjas
2.04,amiga,11,amiga,amigo,amigo,NC,amigo,~a ' m i . G_o o ,amiga,~a ' m i . G_o a ,amigo,a ' m i . g o ,amiga,a ' m i . g a ,amigo,a'mi.go,amiga,a'mi.ga
1.7,amigas,5,amigas,amigo,amigo,AQ,amigo,~a ' m i . G_o o ,amigas,~a ' m i . G_o a s ,amigo,a ' m i . g o ,amigas,a ' m i . g a s ,amigo,a'mi.go,amigas,a'mi.gas
2.48,amigo,30,amigo,amigo,amigo,NC,amigo,~a ' m i . G_o o ,amigo,~a ' m i . G_o o ,amigo,a ' m i . g o ,amigo,a ' m i . g o ,amigo,a'mi.go,amigo,a'mi.go
2.57,amigos,37,amigos,amigo,amigo,NC,amigo,~a ' m i . G_o o ,amigos,~a ' m i . G_o o s ,amigo,a ' m i . g o ,amigos,a ' m i . g o s ,amigo,a'mi.go,amigos,a'mi.gos
1,amiguicos,1,amiguicos,amiguicos,amiguicos,AQ,amiguicos,~a . m i ' G_o i . k o s ,amiguicos,~a . m i ' G_o i . k o s ,amiguicos,a . m i ' g i . k o s ,amiguicos,a . m i ' g i . k o s ,amiguicos,a.mi'gi.kos,amiguicos,a.mi'gi.kos
1.78,amiguita,6,amiguita,amigo,amigo,AQ,amigo,~a ' m i . G_o o ,amiguita,~a . m i ' G_o i . t a ,amigo,a ' m i . g o ,amiguita,a . m i ' g i . t a ,amigo,a'mi.go,amiguita,a.mi'gi.ta
1.3,amiguito,2,amiguito,amigo,amigo,AQ,amigo,~a ' m i . G_o o ,amiguito,~a . m i ' G_o i . t o ,amigo,a ' m i . g o ,amiguito,a . m i ' g i . t o ,amigo,a'mi.go,amiguito,a.mi'gi.to
1.78,amiguitos,6,amiguitos,amigo,amigo,AQ,amigo,~a ' m i . G_o o ,amiguitos,~a . m i ' G_o i . t o s ,amigo,a ' m i . g o ,amiguitos,a . m i ' g i . t o s ,amigo,a'mi.go,amiguitos,a.mi'gi.tos
1,amor,1,amor,amor,amor,NC,amor,~a ' m o 4 ,amor,~a ' m o 4 ,amor,a ' m o 4 ,amor,a ' m o 4 ,amor,a'mo4,amor,a'mo4
1,Amparico,1,amparico,amparo,amparo,NC,amparo,~a m ' p a . 4 o ,Amparico,~a m . p a ' 4 i . k o ,amparo,a m ' p a . 4 o ,Amparico,a m . p a ' 4 i . k o ,amparo,am'pa.4o,Amparico,am.pa'4i.ko
2.54,Ana,35,ana,ana,ana,NC,ana,' ~a . n a ,Ana,' ~a . n a ,ana,' a . n a ,Ana,' a . n a ,ana,'a.na,Ana,'a.na
1,Anabel,1,anabel,anabel,anabel,NP,anabel,~a . n a ' B_o e l ,Anabel,~a . n a ' B_o e l ,anabel,a . n a ' b e l ,Anabel,a . n a ' b e l ,anabel,a.na'bel,Anabel,a.na'bel
1,anchoas,1,anchoas,anchoa,anchoa,NC,anchoa,~a n_j ' tS o . a ,anchoas,~a n_j ' tS o . a s ,anchoa,a n ' C o . a ,anchoas,a n ' C o . a s ,anchoa,an'Co.a,anchoas,an'Co.as
2.32,ancla,21,ancla,ancla,ancla,NC,ancla,' ~a n_g . k l a ,ancla,' ~a n_g . k l a ,ancla,' a n . k l a ,ancla,' a n . k l a ,ancla,'an.kla,ancla,'an.kla
1.3,ancle,2,ancle,anclar,anclar,VMS,anclar,~a n_g ' k l a 4 ,ancle,' ~a n_g . k l e ,anclar,a n ' k l a 4 ,ancle,' a n . k l e ,anclar,an'kla4,ancle,'an.kle
2.18,anda,15,anda,andar,andar,VMI,andar,~a n_d ' d a 4 ,anda,' ~a n_d . d a ,andar,a n ' d a 4 ,anda,' a n . d a ,andar,an'da4,anda,'an.da
