5.07,a,11653,a,a,a,SP,a,a ,a,a ,a,' a ,a,' a ,a,'a,a,'a
1.6,acordeón,4,acordeón,acordeón,acordeón,NC,acordeón,a . k o 4 . D_o e ' o n ,acordeón,a . k o 4 . D_o e ' o n ,acordeón,a . k o 4 . d e ' o n ,acordeón,a . k o 4 . d e ' o n ,acordeón,a.ko4.de'on,acordeón,a.ko4.de'on
1,acostaba,1,acostaba,acostar,acostar,VMI,acostar,a . k o s ' t a 4 ,acostaba,a . k o s ' t a . B_o a ,acostar,a . k o s ' t a 4 ,acostaba,a . k o s ' t a . b a ,acostar,a.kos'ta4,acostaba,a.kos'ta.ba
1,acostaditos,1,acostaditos,acostar,acostar,VMP,acostar,a . k o s ' t a 4 ,acostaditos,a . k o s . t a ' D_o i . t o s ,acostar,a . k o s ' t a 4 ,acostaditos,a . k o s . t a ' d i . t o s ,acostar,a.kos'ta4,acostaditos,a.kos.ta'di.tos
1.3,acostado,2,acostado,acostar,acostar,VMP,acostar,a . k o s ' t a 4 ,acostado,a . k o s ' t a . D_o o ,acostar,a . k o s ' t a 4 ,acostado,a . k o s ' t a . d o ,acostar,a.kos'ta4,acostado,a.kos'ta.do
1,acostados,1,acostados,acostar,acostar,VMP,acostar,a . k o s ' t a 4 ,acostados,a . k o s ' t a . D_o o s ,acostar,a . k o s ' t a 4 ,acostados,a . k o s ' t a . d o s ,acostar,a.kos'ta4,acostados,a.kos'ta.dos
1.6,acostamos,4,acostamos,acostar,acostar,VMI,acostar,a . k o s ' t a 4 ,acostamos,a . k o s ' t a . m o s ,acostar,a . k o s ' t a 4 ,acostamos,a . k o s ' t a . m o s ,acostar,a.kos'ta4,acostamos,a.kos'ta.mos
2,acostar,10,acostar,acostar,acostar,VMN,acostar,a . k o s ' t a 4 ,acostar,a . k o s ' t a 4 ,acostar,a . k o s ' t a 4 ,acostar,a . k o s ' t a 4 ,acostar,a.kos'ta4,acostar,a.kos'ta4
1.3,acostaría,2,acostaría,acostar,acostar,VMI,acostar,a . k o s ' t a 4 ,acostaría,a . k o s . t a ' 4 i a ,acostar,a . k o s ' t a 4 ,acostaría,a . k o s . t a ' 4 i a ,acostar,a.kos'ta4,acostaría,a.kos.ta'4ia
1,acostarles,1,acostarles,acostar+le,acostar,VMN+PP,acostar,a . k o s ' t a 4 ,acostarles,a . k o s ' t a 4 l e s ,acostar,a . k o s ' t a 4 ,acostarles,a . k o s ' t a 4 l e s ,acostar,a.kos'ta4,acostarles,a.kos'ta4les
1.48,acostarlos,3,acostarlos,acostar+lo,acostar,VMN+PP,acostar,a . k o s ' t a 4 ,acostarlos,a . k o s ' t a 4 l o s ,acostar,a . k o s ' t a 4 ,acostarlos,a . k o s ' t a 4 l o s ,acostar,a.kos'ta4,acostarlos,a.kos'ta4los
1,acostarnos,1,acostarnos,acostar+nos,acostar,VMN+PP,acostar,a . k o s ' t a 4 ,acostarnos,a . k o s ' t a 4 . n o s ,acostar,a . k o s ' t a 4 ,acostarnos,a . k o s ' t a 4 . n o s ,acostar,a.kos'ta4,acostarnos,a.kos'ta4.nos
1,acostarse,1,acostarse,acostar+se,acostar,VMN+PP,acostar,a . k o s ' t a 4 ,acostarse,a . k o s ' t a 4 . s e ,acostar,a . k o s ' t a 4 ,acostarse,a . k o s ' t a 4 . s e ,acostar,a.kos'ta4,acostarse,a.kos'ta4.se
1,acuarelas,1,acuarelas,acuarela,acuarela,NC,acuarela,a . k w a ' 4 e . l a ,acuarelas,a . k w a ' 4 e . l a s ,acuarela,a . k w a ' 4 e . l a ,acuarelas,a . k w a ' 4 e . l a s ,acuarela,a.kwa'4e.la,acuarelas,a.kwa'4e.las
1,acuerda,1,acuerda,acordar,acordar,VMI,acordar,a . k o 4 ' D_o a 4 ,acuerda,a ' k w e 4 . D_o a ,acordar,a . k o 4 ' d a 4 ,acuerda,a ' k w e 4 . d a ,acordar,a.ko4'da4,acuerda,a'kwe4.da
3.23,acuerdas,171,acuerdas,acordar,acordar,VMI,acordar,a . k o 4 ' D_o a 4 ,acuerdas,a ' k w e 4 . D_o a s ,acordar,a . k o 4 ' d a 4 ,acuerdas,a ' k w e 4 . d a s ,acordar,a.ko4'da4,acuerdas,a'kwe4.das
1,acuérdate,1,acuérdate,acordar+te,acordar,VMM+PP,acordar,a . k o 4 ' D_o a 4 ,acuérdate,a ' k w e 4 . D_o a . t e ,acordar,a . k o 4 ' d a 4 ,acuérdate,a ' k w e 4 . d a . t e ,acordar,a.ko4'da4,acuérdate,a'kwe4.da.te
2.51,acuerdo,32,acuerdo,acuerdo,acuerdo,NC,acuerdo,a ' k w e 4 . D_o o ,acuerdo,a ' k w e 4 . D_o o ,acuerdo,a ' k w e 4 . d o ,acuerdo,a ' k w e 4 . d o ,acuerdo,a'kwe4.do,acuerdo,a'kwe4.do
1.48,acuesta,3,acuesta,acostar,acostar,VMI,acostar,a . k o s ' t a 4 ,acuesta,a ' k w e s . t a ,acostar,a . k o s ' t a 4 ,acuesta,a ' k w e s . t a ,acostar,a.kos'ta4,acuesta,a'kwes.ta
1,acuéstales,1,acuéstales,acostar+le,acostar,VMM+PP,acostar,a . k o s ' t a 4 ,acuéstales,a ' k w e s . t a . l e s ,acostar,a . k o s ' t a 4 ,acuéstales,a ' k w e s . t a . l e s ,acostar,a.kos'ta4,acuéstales,a'kwes.ta.les
1,acuestan,1,acuestan,acostar,acostar,VMI,acostar,a . k o s ' t a 4 ,acuestan,a ' k w e s . t a n ,acostar,a . k o s ' t a 4 ,acuestan,a ' k w e s . t a n ,acostar,a.kos'ta4,acuestan,a'kwes.tan
1,acuestas,1,acuestas,acostar,acostar,VMI,acostar,a . k o s ' t a 4 ,acuestas,a ' k w e s . t a s ,acostar,a . k o s ' t a 4 ,acuestas,a ' k w e s . t a s ,acostar,a.kos'ta4,acuestas,a'kwes.tas
1,acuesten,1,acuesten,acostar,acostar,VMS,acostar,a . k o s ' t a 4 ,acuesten,a ' k w e s . t e n ,acostar,a . k o s ' t a 4 ,acuesten,a ' k w e s . t e n ,acostar,a.kos'ta4,acuesten,a'kwes.ten
1.3,acuestes,2,acuestes,acostar,acostar,VMS,acostar,a . k o s ' t a 4 ,acuestes,a ' k w e s . t e s ,acostar,a . k o s ' t a 4 ,acuestes,a ' k w e s . t e s ,acostar,a.kos'ta4,acuestes,a'kwes.tes
2.15,adelante,14,adelante,adelante,adelante,RG,adelante,a . D_o e ' l a n_d . t e ,adelante,a . D_o e ' l a n_d . t e ,adelante,a . d e ' l a n . t e ,adelante,a . d e ' l a n . t e ,adelante,a.de'lan.te,adelante,a.de'lan.te
2.54,además,35,además,además,además,RG,además,a . D_o e ' m a s ,además,a . D_o e ' m a s ,además,a . d e ' m a s ,además,a . d e ' m a s ,además,a.de'mas,además,a.de'mas
2.57,adentro,37,adentro,adentro,adentro,RG,adentro,a ' D_o e n_d . t 4 o ,adentro,a ' D_o e n_d . t 4 o ,adentro,a ' d e n . t 4 o ,adentro,a ' d e n . t 4 o ,adentro,a'den.t4o,adentro,a'den.t4o
2.8,adiós,63,adiós,adiós,adiós,I,adiós,a ' D_o j o s ,adiós,a ' D_o j o s ,adiós,a ' d j o s ,adiós,a ' d j o s ,adiós,a'djos,adiós,a'djos
1,adónde,1,adónde,adónde,adónde,PT,adónde,a ' D_o o n_d . d e ,adónde,a ' D_o o n_d . d e ,adónde,a ' d o n . d e ,adónde,a ' d o n . d e ,adónde,a'don.de,adónde,a'don.de
1,adornado,1,adornado,adornar,adornar,VMP,adornar,a . D_o o 4 ' n a 4 ,adornado,a . D_o o 4 ' n a . D_o o ,adornar,a . d o 4 ' n a 4 ,adornado,a . d o 4 ' n a . d o ,adornar,a.do4'na4,adornado,a.do4'na.do
1,adornan,1,adornan,adornar,adornar,VMI,adornar,a . D_o o 4 ' n a 4 ,adornan,a ' D_o o 4 . n ~a n ,adornar,a . d o 4 ' n a 4 ,adornan,a ' d o 4 . n a n ,adornar,a.do4'na4,adornan,a'do4.nan
1,adornando,1,adornando,adornar,adornar,VMG,adornar,a . D_o o 4 ' n a 4 ,adornando,a . D_o o 4 ' n ~a n_d . d o ,adornar,a . d o 4 ' n a 4 ,adornando,a . d o 4 ' n a n . d o ,adornar,a.do4'na4,adornando,a.do4'nan.do
1,adornar,1,adornar,adornar,adornar,VMN,adornar,a . D_o o 4 ' n a 4 ,adornar,a . D_o o 4 ' n a 4 ,adornar,a . d o 4 ' n a 4 ,adornar,a . d o 4 ' n a 4 ,adornar,a.do4'na4,adornar,a.do4'na4
1.3,adornarlo,2,adornarlo,adornar+lo,adornar,VMN+PP,adornar,a . D_o o 4 ' n a 4 ,adornarlo,a . D_o o 4 ' n a 4 l o ,adornar,a . d o 4 ' n a 4 ,adornarlo,a . d o 4 ' n a 4 l o ,adornar,a.do4'na4,adornarlo,a.do4'na4lo
1,adorne,1,adorne,adornar,adornar,VMS,adornar,a . D_o o 4 ' n a 4 ,adorne,a ' D_o o 4 . n e ,adornar,a . d o 4 ' n a 4 ,adorne,a ' d o 4 . n e ,adornar,a.do4'na4,adorne,a'do4.ne
1,adornicos,1,adornicos,adorno,adorno,NC,adorno,a ' D_o o 4 . n o ,adornicos,a . D_o o 4 ' n i . k o s ,adorno,a ' d o 4 . n o ,adornicos,a . d o 4 ' n i . k o s ,adorno,a'do4.no,adornicos,a.do4'ni.kos
1.7,adorno,5,adorno,adorno,adorno,NC,adorno,a ' D_o o 4 . n o ,adorno,a ' D_o o 4 . n o ,adorno,a ' d o 4 . n o ,adorno,a ' d o 4 . n o ,adorno,a'do4.no,adorno,a'do4.no
1.9,adornos,8,adornos,adorno,adorno,NC,adorno,a ' D_o o 4 . n o ,adornos,a ' D_o o 4 . n o s ,adorno,a ' d o 4 . n o ,adornos,a ' d o 4 . n o s ,adorno,a'do4.no,adornos,a'do4.nos
1,Adriana,1,adriana,adriana,adriana,NP,adriana,a ' D_o 4 j a . n a ,Adriana,a ' D_o 4 j a . n a ,adriana,a ' d 4 j a . n a ,Adriana,a ' d 4 j a . n a ,adriana,a'd4ja.na,Adriana,a'd4ja.na
1.6,afuera,4,afuera,afuera,afuera,RG,afuera,a ' f w e . 4 a ,afuera,a ' f w e . 4 a ,afuera,a ' f w e . 4 a ,afuera,a ' f w e . 4 a ,afuera,a'fwe.4a,afuera,a'fwe.4a
1,agachada,1,agachada,agachar,agachar,VMP,agachar,a . G_o a ' tS a 4 ,agachada,a . G_o a ' tS a . D_o a ,agachar,a . g a ' C a 4 ,agachada,a . g a ' C a . d a ,agachar,a.ga'Ca4,agachada,a.ga'Ca.da
1,agachado,1,agachado,agachar,agachar,VMP,agachar,a . G_o a ' tS a 4 ,agachado,a . G_o a ' tS a . D_o o ,agachar,a . g a ' C a 4 ,agachado,a . g a ' C a . d o ,agachar,a.ga'Ca4,agachado,a.ga'Ca.do
1.3,agacharse,2,agacharse,agachar+se,agachar,VMN+PP,agachar,a . G_o a ' tS a 4 ,agacharse,a . G_o a ' tS a 4 . s e ,agachar,a . g a ' C a 4 ,agacharse,a . g a ' C a 4 . s e ,agachar,a.ga'Ca4,agacharse,a.ga'Ca4.se
1,agachas,1,agachas,agachar,agachar,VMI,agachar,a . G_o a ' tS a 4 ,agachas,a ' G_o a . tS a s ,agachar,a . g a ' C a 4 ,agachas,a ' g a . C a s ,agachar,a.ga'Ca4,agachas,a'ga.Cas
1.6,agarra,4,agarra,agarrar,agarrar,VMI,agarrar,a . G_o a ' r a 4 ,agarra,a ' G_o a . r a ,agarrar,a . g a ' r a 4 ,agarra,a ' g a . r a ,agarrar,a.ga'ra4,agarra,a'ga.ra
1,agarraba,1,agarraba,agarrar,agarrar,VMI,agarrar,a . G_o a ' r a 4 ,agarraba,a . G_o a ' r a . B_o a ,agarrar,a . g a ' r a 4 ,agarraba,a . g a ' r a . b a ,agarrar,a.ga'ra4,agarraba,a.ga'ra.ba
1,agarrada,1,agarrada,agarrar,agarrar,VMP,agarrar,a . G_o a ' r a 4 ,agarrada,a . G_o a ' r a . D_o a ,agarrar,a . g a ' r a 4 ,agarrada,a . g a ' r a . d a ,agarrar,a.ga'ra4,agarrada,a.ga'ra.da
1.3,agarrado,2,agarrado,agarrar,agarrar,VMP,agarrar,a . G_o a ' r a 4 ,agarrado,a . G_o a ' r a . D_o o ,agarrar,a . g a ' r a 4 ,agarrado,a . g a ' r a . d o ,agarrar,a.ga'ra4,agarrado,a.ga'ra.do
1,agárralo,1,agárralo,agarrar+lo,agarrar,VMM+PP,agarrar,a . G_o a ' r a 4 ,agárralo,a ' G_o a . r a . l o ,agarrar,a . g a ' r a 4 ,agárralo,a ' g a . r a . l o ,agarrar,a.ga'ra4,agárralo,a'ga.ra.lo
1,agarran,1,agarran,agarrar,agarrar,VMI,agarrar,a . G_o a ' r a 4 ,agarran,a ' G_o a . r a n ,agarrar,a . g a ' r a 4 ,agarran,a ' g a . r a n ,agarrar,a.ga'ra4,agarran,a'ga.ran
1,agarrando,1,agarrando,agarrar,agarrar,VMG,agarrar,a . G_o a ' r a 4 ,agarrando,a . G_o a ' r a n_d . d o ,agarrar,a . g a ' r a 4 ,agarrando,a . g a ' r a n . d o ,agarrar,a.ga'ra4,agarrando,a.ga'ran.do
1.3,agarrar,2,agarrar,agarrar,agarrar,VMN,agarrar,a . G_o a ' r a 4 ,agarrar,a . G_o a ' r a 4 ,agarrar,a . g a ' r a 4 ,agarrar,a . g a ' r a 4 ,agarrar,a.ga'ra4,agarrar,a.ga'ra4
1,agarrarse,1,agarrarse,agarrar+se,agarrar,VMN+PP,agarrar,a . G_o a ' r a 4 ,agarrarse,a . G_o a ' r a 4 . s e ,agarrar,a . g a ' r a 4 ,agarrarse,a . g a ' r a 4 . s e ,agarrar,a.ga'ra4,agarrarse,a.ga'ra4.se
1,agarras,1,agarras,agarrar,agarrar,VMI,agarrar,a . G_o a ' r a 4 ,agarras,a ' G_o a . r a s ,agarrar,a . g a ' r a 4 ,agarras,a ' g a . r a s ,agarrar,a.ga'ra4,agarras,a'ga.ras
1,agárrate,1,agárrate,agarrar+te,agarrar,VMM+PP,agarrar,a . G_o a ' r a 4 ,agárrate,a ' G_o a . r a . t e ,agarrar,a . g a ' r a 4 ,agárrate,a ' g a . r a . t e ,agarrar,a.ga'ra4,agárrate,a'ga.ra.te
1.48,agarro,3,agarro,agarrar,agarrar,VMI,agarrar,a . G_o a ' r a 4 ,agarro,a ' G_o a . r o ,agarrar,a . g a ' r a 4 ,agarro,a ' g a . r o ,agarrar,a.ga'ra4,agarro,a'ga.ro
1,agarró,1,agarró,agarrar,agarrar,VMI,agarrar,a . G_o a ' r a 4 ,agarró,a . G_o a ' r o ,agarrar,a . g a ' r a 4 ,agarró,a . g a ' r o ,agarrar,a.ga'ra4,agarró,a.ga'ro
1,agosto,1,agosto,agosto,agosto,W,agosto,a ' G_o o s . t o ,agosto,a ' G_o o s . t o ,agosto,a ' g o s . t o ,agosto,a ' g o s . t o ,agosto,a'gos.to,agosto,a'gos.to
3.25,agua,179,agua,agua,agua,NC,agua,' a . G_o w a ,agua,' a . G_o w a ,agua,' a . g w a ,agua,' a . g w a ,agua,'a.gwa,agua,'a.gwa
1,aguanta,1,aguanta,aguantar,aguantar,VMI,aguantar,a . G_o w a n_d ' t a 4 ,aguanta,a ' G_o w a n_d . t a ,aguantar,a . g w a n ' t a 4 ,aguanta,a ' g w a n . t a ,aguantar,a.gwan'ta4,aguanta,a'gwan.ta
1,aguante,1,aguante,aguante,aguante,NC,aguante,a ' G_o w a n_d . t e ,aguante,a ' G_o w a n_d . t e ,aguante,a ' g w a n . t e ,aguante,a ' g w a n . t e ,aguante,a'gwan.te,aguante,a'gwan.te
1,Aguapolis,1,aguapolis,aguapolis,aguapolis,NP,aguapolis,a . G_o w a ' p o . l i s ,Aguapolis,a . G_o w a ' p o . l i s ,aguapolis,a . g w a ' p o . l i s ,Aguapolis,a . g w a ' p o . l i s ,aguapolis,a.gwa'po.lis,Aguapolis,a.gwa'po.lis
1,águila,1,águila,águila,águila,NC,águila,' a . G_o i . l a ,águila,' a . G_o i . l a ,águila,' a . g i . l a ,águila,' a . g i . l a ,águila,'a.gi.la,águila,'a.gi.la
1.3,agüita,2,agüita,agüita,agüita,NC,agüita,a ' G_o w i . t a ,agüita,a ' G_o w i . t a ,agüita,a ' g w i . t a ,agüita,a ' g w i . t a ,agüita,a'gwi.ta,agüita,a'gwi.ta
1,aguja,1,aguja,aguja,aguja,NC,aguja,a ' G_o u . x a ,aguja,a ' G_o u . x a ,aguja,a ' g u . x a ,aguja,a ' g u . x a ,aguja,a'gu.xa,aguja,a'gu.xa
1.3,agujerico,2,agujerico,agujero,agujero,NC,agujero,a . G_o u ' x e . 4 o ,agujerico,a . G_o u . x e ' 4 i . k o ,agujero,a . g u ' x e . 4 o ,agujerico,a . g u . x e ' 4 i . k o ,agujero,a.gu'xe.4o,agujerico,a.gu.xe'4i.ko
1.78,agujerito,6,agujerito,agujero,agujero,NC,agujero,a . G_o u ' x e . 4 o ,agujerito,a . G_o u . x e ' 4 i . t o ,agujero,a . g u ' x e . 4 o ,agujerito,a . g u . x e ' 4 i . t o ,agujero,a.gu'xe.4o,agujerito,a.gu.xe'4i.to
1.78,agujero,6,agujero,agujero,agujero,NC,agujero,a . G_o u ' x e . 4 o ,agujero,a . G_o u ' x e . 4 o ,agujero,a . g u ' x e . 4 o ,agujero,a . g u ' x e . 4 o ,agujero,a.gu'xe.4o,agujero,a.gu'xe.4o
1.3,agujeros,2,agujeros,agujero,agujero,NC,agujero,a . G_o u ' x e . 4 o ,agujeros,a . G_o u ' x e . 4 o s ,agujero,a . g u ' x e . 4 o ,agujeros,a . g u ' x e . 4 o s ,agujero,a.gu'xe.4o,agujeros,a.gu'xe.4os
4.33,ah,2138,ah,ah,ah,I,ah,' a ,ah,' a ,ah,' a ,ah,' a ,ah,'a,ah,'a
4.23,ahí,1690,ahí,ahí,ahí,RG,ahí,a ' i ,ahí,a ' i ,ahí,a ' i ,ahí,a ' i ,ahí,a'i,ahí,a'i
1,ahoga,1,ahoga,ahogar,ahogar,VMI,ahogar,a . o ' G_o a 4 ,ahoga,a ' o . G_o a ,ahogar,a . o ' g a 4 ,ahoga,a ' o . g a ,ahogar,a.o'ga4,ahoga,a'o.ga
1.3,ahogan,2,ahogan,ahogar,ahogar,VMI,ahogar,a . o ' G_o a 4 ,ahogan,a ' o . G_o a n ,ahogar,a . o ' g a 4 ,ahogan,a ' o . g a n ,ahogar,a.o'ga4,ahogan,a'o.gan
1.48,ahogando,3,ahogando,ahogar,ahogar,VMG,ahogar,a . o ' G_o a 4 ,ahogando,a . o ' G_o a n_d . d o ,ahogar,a . o ' g a 4 ,ahogando,a . o ' g a n . d o ,ahogar,a.o'ga4,ahogando,a.o'gan.do
1,ahogándose,1,ahogándose,ahogar+se,ahogar,VMG+PP,ahogar,a . o ' G_o a 4 ,ahogándose,a . o ' G_o a n_d . d o . s e ,ahogar,a . o ' g a 4 ,ahogándose,a . o ' g a n . d o . s e ,ahogar,a.o'ga4,ahogándose,a.o'gan.do.se
1.7,ahogar,5,ahogar,ahogar,ahogar,VMN,ahogar,a . o ' G_o a 4 ,ahogar,a . o ' G_o a 4 ,ahogar,a . o ' g a 4 ,ahogar,a . o ' g a 4 ,ahogar,a.o'ga4,ahogar,a.o'ga4
1,ahogarse,1,ahogarse,ahogar+se,ahogar,VMN+PP,ahogar,a . o ' G_o a 4 ,ahogarse,a . o ' G_o a 4 . s e ,ahogar,a . o ' g a 4 ,ahogarse,a . o ' g a 4 . s e ,ahogar,a.o'ga4,ahogarse,a.o'ga4.se
4.17,ahora,1492,ahora,ahora,ahora,RG,ahora,a ' o . 4 a ,ahora,a ' o . 4 a ,ahora,a ' o . 4 a ,ahora,a ' o . 4 a ,ahora,a'o.4a,ahora,a'o.4a
1,Ainara,1,ainara,ainara,ainara,NP,ainara,a i_^ ' n a . 4 a ,Ainara,a i_^ ' n a . 4 a ,ainara,a i ' n a . 4 a ,Ainara,a i ' n a . 4 a ,ainara,ai'na.4a,Ainara,ai'na.4a
2.34,Ainhoa,22,ainhoa,ainhoa,ainhoa,NP,ainhoa,a i_^ ' n o . a ,Ainhoa,a i_^ ' n o . a ,ainhoa,a i ' n o . a ,Ainhoa,a i ' n o . a ,ainhoa,ai'no.a,Ainhoa,ai'no.a
2.08,aire,12,aire,aire,aire,NC,aire,' a i_^ . 4 e ,aire,' a i_^ . 4 e ,aire,' a i . 4 e ,aire,' a i . 4 e ,aire,'ai.4e,aire,'ai.4e
1.3,Aitana,2,aitana,aitana,aitana,NP,aitana,a i_^ ' t a . n a ,Aitana,a i_^ ' t a . n a ,aitana,a i ' t a . n a ,Aitana,a i ' t a . n a ,aitana,ai'ta.na,Aitana,ai'ta.na
1.3,Aitor,2,aitor,aitor,aitor,NP,aitor,a i_^ ' t o 4 ,Aitor,a i_^ ' t o 4 ,aitor,a i ' t o 4 ,Aitor,a i ' t o 4 ,aitor,ai'to4,Aitor,ai'to4
1.9,ajá,8,ajá,ajá,ajá,I,ajá,a ' x a ,ajá,a ' x a ,ajá,a ' x a ,ajá,a ' x a ,ajá,a'xa,ajá,a'xa
1,ajetreado,1,ajetreado,ajetrear,ajetrear,VMP,ajetrear,a . x e . t 4 e ' a 4 ,ajetreado,a . x e . t 4 e ' a . D_o o ,ajetrear,a . x e . t 4 e ' a 4 ,ajetreado,a . x e . t 4 e ' a . d o ,ajetrear,a.xe.t4e'a4,ajetreado,a.xe.t4e'a.do
1.3,Alá,2,alá,alá,alá,I,alá,a ' l a ,Alá,a ' l a ,alá,a ' l a ,Alá,a ' l a ,alá,a'la,Alá,a'la
3.62,ála,421,ála,ála,ála,NC,ála,' a . l a ,ála,' a . l a ,ála,' a . l a ,ála,' a . l a ,ála,'a.la,ála,'a.la
2.48,alas,30,alas,ala,ala,NC,ala,' a . l a ,alas,' a . l a s ,ala,' a . l a ,alas,' a . l a s ,ala,'a.la,alas,'a.las
1,Alberto,1,alberto,alberto,alberto,NP,alberto,a l ' B_o e 4 . t o ,Alberto,a l ' B_o e 4 . t o ,alberto,a l ' b e 4 . t o ,Alberto,a l ' b e 4 . t o ,alberto,al'be4.to,Alberto,al'be4.to
1.3,Albi,2,albi,albi,albi,NP,albi,' a l . B_o i ,Albi,' a l . B_o i ,albi,' a l . b i ,Albi,' a l . b i ,albi,'al.bi,Albi,'al.bi
1.3,albóndigas,2,albóndigas,albóndiga,albóndiga,NC,albóndiga,a l ' B_o o n_d . d i . G_o a ,albóndigas,a l ' B_o o n_d . d i . G_o a s ,albóndiga,a l ' b o n . d i . g a ,albóndigas,a l ' b o n . d i . g a s ,albóndiga,al'bon.di.ga,albóndigas,al'bon.di.gas
1.3,alcohol,2,alcohol,alcohol,alcohol,NC,alcohol,a l . k o ' o l ,alcohol,a l . k o ' o l ,alcohol,a l . k o ' o l ,alcohol,a l . k o ' o l ,alcohol,al.ko'ol,alcohol,al.ko'ol
2.23,ále,17,ále,ále,ále,AQ,ále,' a . l e ,ále,' a . l e ,ále,' a . l e ,ále,' a . l e ,ále,'a.le,ále,'a.le
1.3,alegre,2,alegre,alegre,alegre,AQ,alegre,a ' l e . G_o 4 e ,alegre,a ' l e . G_o 4 e ,alegre,a ' l e . g 4 e ,alegre,a ' l e . g 4 e ,alegre,a'le.g4e,alegre,a'le.g4e
1,alegres,1,alegres,alegre,alegre,AQ,alegre,a ' l e . G_o 4 e ,alegres,a ' l e . G_o 4 e s ,alegre,a ' l e . g 4 e ,alegres,a ' l e . g 4 e s ,alegre,a'le.g4e,alegres,a'le.g4es
1,alegría,1,alegría,alegría,alegría,NC,alegría,a . l e ' G_o 4 i a ,alegría,a . l e ' G_o 4 i a ,alegría,a . l e ' g 4 i a ,alegría,a . l e ' g 4 i a ,alegría,a.le'g4ia,alegría,a.le'g4ia
1,alegro,1,alegro,alegro,alegro,NC,alegro,a ' l e . G_o 4 o ,alegro,a ' l e . G_o 4 o ,alegro,a ' l e . g 4 o ,alegro,a ' l e . g 4 o ,alegro,a'le.g4o,alegro,a'le.g4o
1,alejados,1,alejados,alejar,alejar,VMP,alejar,a . l e ' x a 4 ,alejados,a . l e ' x a . D_o o s ,alejar,a . l e ' x a 4 ,alejados,a . l e ' x a . d o s ,alejar,a.le'xa4,alejados,a.le'xa.dos
1.78,Alejandro,6,alejandro,alejandro,alejandro,NP,alejandro,a . l e ' x a n_d . d 4 o ,Alejandro,a . l e ' x a n_d . d 4 o ,alejandro,a . l e ' x a n . d 4 o ,Alejandro,a . l e ' x a n . d 4 o ,alejandro,a.le'xan.d4o,Alejandro,a.le'xan.d4o
1,aletas,1,aletas,aleta,aleta,NC,aleta,a ' l e . t a ,aletas,a ' l e . t a s ,aleta,a ' l e . t a ,aletas,a ' l e . t a s ,aleta,a'le.ta,aletas,a'le.tas
2.3,Alex,20,alex,alex,alex,NP,alex,a ' l e k s ,Alex,a ' l e k s ,alex,a ' l e k s ,Alex,a ' l e k s ,alex,a'leks,Alex,a'leks
1,alfalfa,1,alfalfa,alfalfa,alfalfa,NC,alfalfa,a l ' f a l . f a ,alfalfa,a l ' f a l . f a ,alfalfa,a l ' f a l . f a ,alfalfa,a l ' f a l . f a ,alfalfa,al'fal.fa,alfalfa,al'fal.fa
2.08,alfombra,12,alfombra,alfombra,alfombra,NC,alfombra,a l ' f o m . b 4 a ,alfombra,a l ' f o m . b 4 a ,alfombra,a l ' f o m . b 4 a ,alfombra,a l ' f o m . b 4 a ,alfombra,al'fom.b4a,alfombra,al'fom.b4a
2.2,alforjas,16,alforjas,alforja,alforja,NC,alforja,a l ' f o 4 . x a ,alforjas,a l ' f o 4 . x a s ,alforja,a l ' f o 4 . x a ,alforjas,a l ' f o 4 . x a s ,alforja,al'fo4.xa,alforjas,al'fo4.xas
3.07,algo,118,algo,algo,algo,PI,algo,' a l . G_o o ,algo,' a l . G_o o ,algo,' a l . g o ,algo,' a l . g o ,algo,'al.go,algo,'al.go
1,algodón,1,algodón,algodón,algodón,NC,algodón,a l . G_o o ' D_o o n ,algodón,a l . G_o o ' D_o o n ,algodón,a l . g o ' d o n ,algodón,a l . g o ' d o n ,algodón,al.go'don,algodón,al.go'don
2.89,alguien,77,alguien,alguien,alguien,PI,alguien,' a l . G_o j e n ,alguien,' a l . G_o j e n ,alguien,' a l . g j e n ,alguien,' a l . g j e n ,alguien,'al.gjen,alguien,'al.gjen
2.72,algún,52,algún,alguno,alguno,DI,alguno,a l ' G_o u . n o ,algún,a l ' G_o u n ,alguno,a l ' g u . n o ,algún,a l ' g u n ,alguno,al'gu.no,algún,al'gun
2.52,alguna,33,alguna,alguno,alguno,DI,alguno,a l ' G_o u . n o ,alguna,a l ' G_o u . n a ,alguno,a l ' g u . n o ,alguna,a l ' g u . n a ,alguno,al'gu.no,alguna,al'gu.na
1,algunas,1,algunas,alguno,alguno,DI,alguno,a l ' G_o u . n o ,algunas,a l ' G_o u . n a s ,alguno,a l ' g u . n o ,algunas,a l ' g u . n a s ,alguno,al'gu.no,algunas,al'gu.nas
2.46,alguno,29,alguno,alguno,alguno,PI,alguno,a l ' G_o u . n o ,alguno,a l ' G_o u . n o ,alguno,a l ' g u . n o ,alguno,a l ' g u . n o ,alguno,al'gu.no,alguno,al'gu.no
1.7,algunos,5,algunos,alguno,alguno,DI,alguno,a l ' G_o u . n o ,algunos,a l ' G_o u . n o s ,alguno,a l ' g u . n o ,algunos,a l ' g u . n o s ,alguno,al'gu.no,algunos,al'gu.nos
1.6,Alicia,4,alicia,alicio,alicio,NC,alicio,a ' l i . T j o ,Alicia,a ' l i . T j a ,alicio,a ' l i . T j o ,Alicia,a ' l i . T j a ,alicio,a'li.Tjo,Alicia,a'li.Tja
